event_id,date,year,state,district,location,latitude,longitude,landslide_type,trigger,source,temporal_split
COOLR-HP-001,2023-08-14,2023,Himachal Pradesh,Shimla,Summer Hill Shiv Temple,31.1092,77.1354,debris_flow,monsoon_downpour,NASA_COOLR_GSI,validation
COOLR-HP-002,2023-08-14,2023,Himachal Pradesh,Shimla,Fagli slope collapse,31.0965,77.1652,mudslide,continuous_rain,NASA_COOLR_SDMA,validation
COOLR-HP-003,2023-08-15,2023,Himachal Pradesh,Shimla,Krishna Nagar slaughterhouse hill,31.1215,77.1524,rotational_slide,monsoon_rain,GSI_HP,validation
COOLR-HP-004,2023-07-10,2023,Himachal Pradesh,Mandi,Pandoh Dam NH-21 bypass,31.6704,77.0502,rockslide_debris,torrential_rain,NASA_COOLR_GSI,validation
COOLR-HP-005,2023-07-09,2023,Himachal Pradesh,Mandi,Victoria Bridge bypass Beas cut,31.7082,76.9321,debris_flow,flooding_rain,NASA_COOLR_SDMA,validation
COOLR-HP-006,2023-08-24,2023,Himachal Pradesh,Kullu,Anni multi-building scarp collapse,31.4251,77.4285,rotational_slide,monsoon_deluge,GSI_HP,validation
COOLR-HP-007,2023-08-13,2023,Himachal Pradesh,Solan,Jadon village cloudburst slope wash,30.9854,77.0982,debris_flow,cloudburst,NASA_COOLR_GSI,validation
COOLR-HP-008,2023-07-09,2023,Himachal Pradesh,Kullu,Bahang Manali-Leh road,32.2685,77.1894,flash_flood_debris,torrential_rain,NASA_COOLR_SDMA,validation
COOLR-HP-009,2021-08-11,2021,Himachal Pradesh,Kinnaur,Nigulsari NH-5 massive rock avalanche,31.5452,77.9221,rockfall,continuous_rain,NASA_COOLR_GSI,train
COOLR-HP-010,2021-07-25,2021,Himachal Pradesh,Kinnaur,Batseri Sangla valley boulder fall,31.4331,78.2754,rockfall,intermittent_rain,GSI_HP,train
COOLR-HP-011,2021-07-12,2021,Himachal Pradesh,Kangra,Bhagsunag Dharamshala flash torrent,32.2472,76.3531,debris_flow,cloudburst,NASA_COOLR_GSI,train
COOLR-HP-012,2022-08-20,2022,Himachal Pradesh,Chamba,Bharmour-Holi road breach,32.4412,76.5415,debris_slide,monsoon_rain,NASA_COOLR_SDMA,validation
COOLR-HP-013,2021-07-30,2021,Himachal Pradesh,Sirmaur,Paonta-Shillai hill scarp collapse,30.6521,77.6254,translational_slide,monsoon_rain,GSI_HP,train
COOLR-HP-014,2024-07-31,2024,Himachal Pradesh,Kullu,Malana II dam cloudburst breach,32.0581,77.2915,debris_flow,cloudburst,NASA_COOLR_2024,test
COOLR-HP-015,2024-08-01,2024,Himachal Pradesh,Mandi,Thaltukhod Chauhar valley slide,31.9854,76.9821,debris_flow,cloudburst,NASA_COOLR_2024,test
COOLR-HP-016,2017-08-13,2017,Himachal Pradesh,Mandi,Kotropi Mandi-Pathankot NH collapse,31.8542,76.9214,massive_debris_flow,continuous_rain,NASA_COOLR_GSI,train
COOLR-UK-001,2013-06-16,2013,Uttarakhand,Rudraprayag,Kedarnath Mandakini deluge,30.7342,79.0665,moraine_dam_debris_flow,cloudburst_rain,NASA_COOLR_GSI,train
COOLR-UK-002,2013-06-16,2013,Uttarakhand,Rudraprayag,Gaurikund river bank wash,30.6551,79.0284,debris_flow,monsoon_rain,NASA_COOLR_GSI,train
COOLR-UK-003,2021-02-07,2021,Uttarakhand,Chamoli,Ronti peak / Rishiganga rock-ice avalanche,30.3854,79.7281,rock_ice_avalanche,rock_wedge_failure,NASA_COOLR_GSI,train
COOLR-UK-004,2023-01-05,2023,Uttarakhand,Chamoli,Joshimath slope subsidence,30.5582,79.5651,slow_subsidence_slump,toe_erosion_drainage,GSI_UK,validation
COOLR-UK-005,2023-08-04,2023,Uttarakhand,Rudraprayag,Gaurikund roadside shop avalanche,30.6512,79.0281,debris_flow,torrential_rain,NASA_COOLR_SDMA,validation
COOLR-UK-006,2022-08-20,2022,Uttarakhand,Dehradun,Maldevta Song river cloudburst debris,30.3452,78.1325,debris_torrent,cloudburst,NASA_COOLR_GSI,validation
